periode_data,wilayah,kecamatan,kelurahan,jenis_kelamin,jumlah,keterangan
2023,KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,Laki-Laki,130,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,Laki-Laki,87,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,Laki-Laki,150,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,Laki-Laki,134,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,TAMAN SARI,TAMAN SARI,Laki-Laki,63,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,TAMAN SARI,KRUKUT,Laki-Laki,85,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,TAMAN SARI,MAPHAR,Laki-Laki,74,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,TAMAN SARI,TANGKI,Laki-Laki,70,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,Laki-Laki,44,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,Laki-Laki,59,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,TAMAN SARI,GLODOK,Laki-Laki,36,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,TAMAN SARI,PINANGSIA,Laki-Laki,47,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,TAMBORA,TAMBORA,Laki-Laki,46,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,TAMBORA,KALI ANYAR,Laki-Laki,102,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,TAMBORA,DURI UTARA,Laki-Laki,66,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,TAMBORA,TANAH SEREAL,Laki-Laki,107,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,TAMBORA,KRENDANG,Laki-Laki,59,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,TAMBORA,JEMBATAN BESI,Laki-Laki,78,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,TAMBORA,ANGKE,Laki-Laki,106,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,Laki-Laki,79,MATI TAHUN INI
2023,KOTA ADM. JAKARTA BARAT,TAMBORA,PEKOJAN,Laki-Laki,114,MATI TAHUN INI
